time|deviceName|process|description|processName|timeWindow|numberOfOccurrence|processId
00:59:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12746+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:59:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12746+AF0-| Service exited with abnormal code: 78||||
00:59:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:03:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12765+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:03:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12765+AF0-| Service exited with abnormal code: 78||||
01:07:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12771+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:07:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12771+AF0-| Service exited with abnormal code: 78||||
01:09:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12777+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:09:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:09:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12777+AF0-| Service exited with abnormal code: 78||||
01:13:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12802+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:13:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12802+AF0-| Service exited with abnormal code: 78||||
01:15:26|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.mdmclient.12809| Failed to bootstrap path: path +AD0- /usr/libexec/mdmclient, error +AD0- 108: Invalid path||||
01:15:43|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.user.914945058|+ACI- Service +ACIAIg-com.apple.xpc.launchd.unmanaged.loginwindow.594+ACIAIg- tried to register for endpoint +ACIAIg-com.apple.tsm.uiserver+ACIAIg- already registered by owner: com.apple.TextInputMenuAgent+ACI-||||
01:17:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12822+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:17:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12822+AF0-| Service exited with abnormal code: 78||||
01:18:49|BBAOMACBOOKAIR2|(com.apple.ScreenSaver.iLife+AC0-Slideshow+AC0-Extension+AFs-12816+AF0-| Service exited due to SIGKILL  sent by iLifeSlideshows+AFs-12816+AF0-||||
01:18:49|BBAOMACBOOKAIR2|(com.apple.ScreenSaver.Engine.legacyScreenSaver+AFs-12817+AF0-| Service exited due to SIGKILL  sent by legacyScreenSaver+AFs-12817+AF0-||||
01:18:49|BBAOMACBOOKAIR2|(com.apple.ScreenSaver.Computer+AC0-Name+AFs-12815+AF0-| Service exited due to SIGKILL  sent by Computer Name+AFs-12815+AF0-||||
01:18:59|BBAOMACBOOKAIR2|syncdefaultsd+AFs-12829+AF0-| objc+AFs-12829+AF0- Class SYDClient is implemented in both /System/Library/PrivateFrameworks/SyncedDefaults.framework/Versions/A/SyncedDefaults and /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd. One of the two will be used. Which one is undefined.||||
01:18:59|BBAOMACBOOKAIR2|syncdefaultsd+AFs-12829+AF0-| objc+AFs-12829+AF0- Class SYDJournal is implemented in both /System/Library/PrivateFrameworks/SyncedDefaults.framework/Versions/A/SyncedDefaults and /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd. One of the two will be used. Which one is undefined.||||
01:19:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12834+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:19:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12834+AF0-| Service exited with abnormal code: 78||||
01:19:50|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
01:23:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12844+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:23:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12844+AF0-| Service exited with abnormal code: 78||||
01:27:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12860+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
01:27:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12860+AF0-| Service exited with abnormal code: 78||||
01:27:59|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.DesktopServicesHelper.12862| Failed to bootstrap path: path +AD0- /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error +AD0- 2: No such file or directory||||
01:29:04|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-1760+AF0-| DEPRECATED USE in libdispatch client: Changing the target of a source after it has been activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
01:29:04|BBAOMACBOOKAIR2|VTDecoderXPCService+AFs-1760+AF0-| DEPRECATED USE in libdispatch client: Changing target queue hierarchy after xpc connection was activated+ADs- set a breakpoint on +AF8-dispatch+AF8-bug+AF8-deprecated to debug||||
01:29:50|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12879+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
